Company Name,FOUNDED,BUSINESS MODEL,EMPLOYEES,FUNDING STAGE,RAISED,PRODUCT STAGE,Funding stage,Total raised,Total rounds,Investors,Current Round,Funding in Current Round,TAGS
Cympire,                              1/2018,"B2B, B2G",11-50,Seed,,Released,,,,,,,"['network-security' 'quarantine' 'training' 'education' 'simulation'
 'virtualization' 'security-operations' 'enterprise-solutions'
 'cyber-security' 'enterprise-security' 'cloud-gaming' 'smart-city'
 'gamification']"
InnoSec,                              1/2007,"B2B, B2G",1-10,Revenue Financed,                 $570K,Released,Revenue Financed,570K,1,0,Grant,$570K,"['vulnerability-management' 'insurtech' 'gdpr' 'business-dashboard'
 'cyber-insurance' 'enterprise-solutions' 'enterprise-security'
 'compliance' 'dlp' 'counselling-and-integration' 'risk-assesments'
 'fintech' 'consulting' 'grc' 'cyber-security' 'risk-management']"
SNDBOX,                              5/2017,B2B,1-10,Bootstrapped,,Released,,,,,,,"['cyber-security' 'deep-learning' 'threat-intelligence' 'isolation'
 'research-platform' 'security-operations' 'network-security'
 'artificial-intelligence' 'reverse-engineering' 'enterprise-security'
 'forensics' 'big-data-analytics' 'malware']"
Kameleon Security,                              1/2019,B2B,11-50,Seed,,R&D,Seed,0,1,1,Seed,,"['vulnerability-management' 'hardware' 'semiconductors' 'cyber-security'
 'application-security']"
Hysolate,                              5/2016,B2B,51-200,ROUND B,                 $36M,Released,B,36M,3,5,Undisclosed Round,$10M,"['privileged-access-management' 'endpoint-security' 'network-security'
 'isolation' 'virtualization' 'operating-systems' 'it-management'
 'cyber-security' 'enterprise-security' 'enterprise-solutions'
 'quarantine' 'payments' 'devops']"
Aurora Labs,                              12/2016,B2B,11-50,ROUND B,                 $34.5M,Customer development,B,34.5M,3,10,B Round,$23M,"['car-tech' 'machine-learning' 'cyber-security' 'autonomous-vehicles'
 'ota' 'connected-vehicles' 'smart-mobility' 'anomaly-detection' 'saas'
 'oem' 'artificial-intelligence']"
Nyotron,                              7/2006,"B2B, B2G",51-200,ROUND A,                 $43M,Released,A,43M,4,7,Undisclosed Round,$10M,"['endpoint-security' 'orchestration' 'behavior-analytics' 'zero-day'
 'cyber-security' 'malware' 'threat-intelligence' 'file-security'
 'ransomware' 'apt']"
High Sec Labs,                              7/2008,"B2B, B2G",51-200,Revenue Financed,,Released,,,,,,,"['network-security' 'dlp' 'scada' 'telecommunication-equipment'
 'isolation' 'perimeter-security' 'voip' 'switches' 'telecommunication'
 'authentication' 'cyber-security']"
AI-PREDATOR,                              1/2019,"B2B, B2G",1-10,Seed,,R&D,,,,,,,"['anomaly-detection' 'anti-fraud' 'network-security' 'risk-management'
 'cyber-security' 'behavior-analytics']"
Enc.AI,                              1/2018,B2B,1-10,Bootstrapped,,R&D,,,,,,,['encryption' 'data-protection' 'cyber-security' 'artificial-intelligence']
L1ght,                              12/2018,B2B,11-50,Seed,                 $15M,R&D,Seed,15M,1,3,Seed,$15M,"['kids-safety' 'safe-browsing' 'personal-safety' 'cyber-security'
 'artificial-intelligence' 'safety' 'machine-learning'
 'behavior-analytics']"
Wise-Mon,                              1/2009,"B2B, B2G",1-10,Revenue Financed,,Released,,,,,,,"['cyber-security' 'network-security' 'monitoring' 'byod' 'saas'
 'compliance' 'access-control']"
At-Bay,                              7/2016,B2B,11-50,ROUND C+,                 $292M,Released,C+,292M,6,11,D Round,$20M,"['unicorn' 'anti-fraud' 'cyber-insurance' 'risk-management'
 'cyber-security' 'underwriting' 'grc' 'network-security' 'insurtech'
 'fintech']"
Cyber 2.0,                              8/2015,B2B,11-50,ROUND A,                 $8.2M,Released,A,8.2M,2,1,A Round,$5M,"['iot' 'ot' 'connected-vehicles' 'vulnerability-management'
 'cyber-security' 'soc' 'security-gateway' 'quarantine' 'authentication'
 'enterprise-security' 'data-protection' 'malware' 'smart-mobility'
 'industry-4.0' 'ot-cyber' 'enterprise-solutions']"
Iris Shield,                              4/2019,"B2B, B2G",1-10,Seed,,Beta,,,,,,,"['alert-system' 'enterprise-solutions' 'data-visualization'
 'insider-threat' 'threat-intelligence' 'mobile-security' 'cyber-security'
 'network-security' 'mobile-devices' 'vulnerability-management'
 'data-protection' 'data-analytics' 'vulnerability-assessment'
 'enterprise-security' 'security' 'iot' 'wifi' 'cloud-security'
 'orchestration']"
Syber.ai,                              3/2018,B2B,1-10,Bootstrapped,,Released,,,,,,,"['enterprise-security' 'cyber-security' 'dlp' 'dpi' 'api'
 'application-security']"
Findings,                              1/2018,B2B,11-50,Seed,,Released,Seed,0,1,1,Seed,,"['management-solutions' 'grc' 'risk-management' 'saas' 'compliance'
 'chatbot' 'remote-vendor-security' 'risk-assesments' 'cyber-security'
 'supply-chain' 'software-applications' 'artificial-intelligence']"
Kape Technologies,                              10/2010,"B2B, B2C",201-500,Public,,Released,,,,,,,"['privacy-protection' 'ransomware' 'data-protection' 'safe-browsing' 'vpn'
 'backup' 'website-security' 'endpoint-security' 'encryption'
 'cyber-security']"
Cyber Observer,                              9/2011,"B2B, B2G",11-50,ROUND B,                 $12M,Released,B,12M,3,3,B Round,$8M,"['cyber-security' 'enterprise-security' 'data-visualization'
 'behavior-analytics' 'alert-system' 'vulnerability-assessment'
 'orchestration' 'soc' 'vulnerability-management' 'network-security']"
Cyber Innovative Technologies,                              10/2018,"B2B, B2G",1-10,Seed,                 $65K,Released,Seed,65K,1,1,Convertible Debt,$65K,"['software-applications' 'risk-management' 'artificial-intelligence'
 'gdpr' 'saas' 'web-platform' 'machine-learning' 'compliance'
 'cyber-security']"
Hunters,                              11/2018,B2B,51-200,ROUND B,                 $50.4M,Released,B,50.4M,3,6,B Round,$30M,"['threat-detection' 'cyber-security' 'behavior-analytics'
 'enterprise-security' 'security-operations' 'saas' 'threat-hunting'
 'automation' 'soc' 'artificial-intelligence' 'network-security'
 'enterprise-solutions' 'machine-learning']"
Cyberbit,                              4/2015,"B2B, B2G",201-500,Seed,                 $52M,Released,Seed,52M,2,2,Undisclosed Round,$22M,"['incident-response' 'network-security' 'automation' 'ids'
 'threat-intelligence' 'homeland-security' 'soc' 'ot' 'scada' 'iot'
 'cyber-intelligence' 'orchestration' 'cyber-security' 'edr' 'training'
 'endpoint-security' 'security-operations']"
Wiz,                              1/2020,B2B,51-200,ROUND C+,                 $621M,R&D,C+,621M,5,12,D Round,$250M,"['containers' 'risk-management' 'cloud-infrastructure' 'unicorn'
 'cyber-security' 'enterprise-solutions' 'network-visibility'
 'cloud-security' 'enterprise-security']"
infiniDome,                              6/2016,"B2B, B2G",11-50,ROUND A,                 $4M,Released,A,4M,2,5,A Round,$2.4M,"['supply-chain' 'critical-infastructure' 'rf-technology' 'navigation'
 'autonomous-vehicles' 'telecommunication-equipment' 'fleet-management'
 'hardware' 'gps' 'smart-mobility' 'drones' 'logistics' 'cyber-security'
 'unmanned-ground-vehicle' 'security-operations' 'wireless-communication'
 'homeland-security' 'unmanned-aerial-vehicle' 'security'
 'emergency-medical-services']"
Be Strategic Solutions,                              7/2018,"B2B, B2G",1-10,Bootstrapped,                 $300,Released,Bootstrapped,300,1,0,Grant,$300,"['risk-management' 'artificial-intelligence' 'threat-intelligence'
 'decision-making' 'data-protection' 'behavior-analytics'
 'network-security' 'cyber-security' 'incident-response' 'gdpr'
 'coronavirus' 'security' 'learning-organization' 'compliance'
 'enterprise-solutions' 'simulation' 'disaster-recovery'
 'emergency-response']"
GuardKnox,                              1/2016,B2B,51-200,ROUND A,                 $24M,Alpha,A,24M,2,7,A Round,$21M,"['connected-vehicles' 'cyber-security' 'vehicle-technology' 'hardware'
 'autonomous-vehicles' 'road-safety' 'security' 'fleet-management'
 'smart-mobility' 'driver-safety']"
Cynomi,                              8/2020,B2B,1-10,Bootstrapped,,Beta,,,,,,,"['risk-assesments' 'grc' 'cyber-security' 'artificial-intelligence'
 'compliance']"
Celare Cyber Systems,                              5/2012,"B2B, B2G",1-10,Revenue Financed,,Released,,,,,,,"['homeland-security' 'monitoring' 'machine-learning' 'dpi'
 'cyber-security' 'big-data-analytics' 'behavior-analytics'
 'data-management' 'threat-detection' 'forensics' 'siem'
 'network-security']"
AtmoSec,                              1/2021,B2B,1-10,Seed,,R&D,,,,,,,"['saas' 'data-protection' 'security' 'cyber-security' 'cloud-security'
 'enterprise-security']"
Salt Security,                              1/2015,"B2B, B2G",51-200,ROUND C+,                 $130.1M,Released,C+,130.1M,5,10,C Round,$70M,"['web-application-firewall' 'cloud-services' 'application-security'
 'web-application' 'enterprise-solutions' 'api' 'cloud-security'
 'cyber-security' 'zero-day' 'vulnerability-management']"
Check Point Software Technologies,                              7/1993,"B2B, B2G",500+,Public,,Released,,,,,,,"['mobile-security' 'software-applications' 'sdn' 'threat-intelligence'
 'endpoint-security' 'security-management' 'remote' 'cloud-security'
 'zero-day' 'threat-detection' 'cyber-security' 'network-security'
 'ransomware' 'messaging-security' 'enterprise-solutions' 'ips' 'firewall'
 'serverless' 'hardware' 'data-protection']"
VeeWear,                              1/2016,B2B,1-10,Bootstrapped,,R&D,,,,,,,"['mobile-security' 'authentication' 'privacy-protection' 'encryption'
 'cyber-security' 'voice']"
TripleCyber,                              4/2012,B2B,1-10,ROUND A,,Released,A,0,1,1,A Round,,"['network-security' 'cyber-security' 'threat-intelligence' 'siem'
 'it-infrastructure' 'forensics' 'big-data-analytics'
 'security-operations' 'soc']"
Merlinx,                              7/2014,"B2B, B2G",11-50,Bootstrapped,,Released,,,,,,,"['cyber-intelligence' 'android' 'homeland-security' 'surveillance'
 'encryption' 'cyber-warfare' 'cyber-security']"
CyberX,                              12/2012,"B2B, B2G",51-200,ROUND B,                 $47.02M,Released,B,47.02M,5,12,Undisclosed Round,$18M,"['anomaly-detection' 'scada' 'smart-grid' 'industry-4.0' 'security'
 'monitoring' 'threat-detection' 'ips' 'machine-learning'
 'behavior-analytics' 'forensics' 'zero-day' 'ot' 'siem'
 'network-security' 'control-systems' 'critical-infastructure'
 'artificial-intelligence' 'transportation' 'malware' 'apt'
 'incident-response' 'm2m' 'cyber-security']"
Ayehu Software Technologies,                              3/2007,B2B,51-200,ROUND B,                 $3.148M,Released,B,3.148M,2,1,B Round,$3M,"['network-security' 'cyber-security' 'soc' 'enterprise-solutions'
 'quarantine' 'it-management' 'orchestration' 'artificial-intelligence'
 'incident-response' 'network-management' 'it' 'automation']"
Rescana,                              6/2016,B2B,1-10,Bootstrapped,,Released,,,,,,,"['risk-management' 'data-analytics' 'web-platform' 'cyber-security'
 'osint' 'enterprise-solutions']"
IOT Armor Dome,                              2/2019,B2C,1-10,Bootstrapped,,Customer development,,,,,,,['cyber-security' 'iot']
Sabres Security,                              8/2015,"B2B, B2G, B2B2C",1-10,Bootstrapped,,Released,,,,,,,"['behavior-analytics' 'enterprise-solutions' 'cms' 'website-security'
 'machine-learning' 'artificial-intelligence' 'cyber-security'
 'wordpress-plugin' 'data-protection' 'application-security' 'plugin']"
Centraleyes,                              7/2016,"B2B, B2G",11-50,Seed,                 $2.8M,Released,Seed,2.8M,2,2,Seed,,"['saas' 'grc' 'compliance' 'training' 'threat-intelligence'
 'risk-management' 'vulnerability-assessment' 'critical-infastructure'
 'cyber-security' 'penetration-tests']"
Cyolo,                              12/2019,B2B,11-50,ROUND A,                 $25.2M,Released,A,25.2M,2,6,A Round,$21M,"['firewall' 'identity-verification' 'cyber-security' 'connectivity'
 'access-control' 'network-security']"
GYTpol,                              6/2018,B2B,1-10,Bootstrapped,,R&D,,,,,,,"['it-management' 'software-applications' 'remote' 'network-security'
 'compliance' 'orchestration' 'quarantine' 'endpoint-security'
 'enterprise-solutions' 'cyber-security']"
CardinalOps,                              2/2020,B2B,11-50,Seed,                 $6.5M,Beta,Seed,6.5M,1,2,Seed,$6.5M,"['threat-detection' 'enterprise-solutions' 'cyber-security'
 'network-security' 'security-operations' 'operations-optimization'
 'artificial-intelligence']"
SenseCy,                              9/2014,"B2B, B2C, B2G, B2B2C",1-10,Revenue Financed,,Released,,,,,,,"['counselling-and-integration' 'webint' 'threat-intelligence' 'deep-web'
 'cyber-security' 'intelligence' 'osint' 'critical-infastructure'
 'cyber-intelligence' 'data-protection']"
Sasa Software,                              11/2013,"B2B, B2G",11-50,ROUND A,,Released,,,,,,,"['email' 'file-security' 'ot' 'enterprise-security' 'cyber-security'
 'control-systems' 'operational-technology' 'it' 'messaging-security'
 'security-gateway' 'ransomware' 'spam-protection' 'zero-day'
 'data-protection' 'apt' 'network-security' 'malware' 'cdr']"
Reflectiz,                              3/2016,B2B,11-50,ROUND A,                 $6M,Released,A,6M,2,4,A Round,$5M,"['cyber-security' 'monitoring' 'malvertising' 'behavior-analytics'
 'website-security' 'vulnerability-scanning' 'enterprise-security'
 'vulnerability-management' 'privacy-protection']"
Lightspin,                              2/2020,B2B,11-50,ROUND A,                 $20M,Beta,A,20M,2,2,A Round,$16M,['cloud-security' 'threat-detection' 'cyber-security' 'kubernetes']
QPrivacy,                              11/2017,B2B,11-50,Seed,,Released,Seed,0,1,1,Seed,,"['web-application' 'analytics' 'gdpr' 'cross-platform' 'fintech'
 'marketing-tools' 'cyber-security' 'regtech' 'machine-learning'
 'mobile-applications' 'data-management' 'encryption'
 'artificial-intelligence' 'privacy-protection' 'enterprise-solutions']"
Namogoo,                              4/2014,B2B,51-200,ROUND C+,                 $68M,Released,C+,68M,4,9,C Round,$40M,"['customer-loyalty' 'malware' 'behavior-analytics' 'data-protection'
 'privacy-protection' 'artificial-intelligence' 'customer-engagement'
 'cyber-security' 'ecommerce' 'client-side-security' 'brand-protection'
 'adtech' 'machine-learning' 'gdpr' 'ad-blocking'
 'conversion-optimization']"
Regulus Cyber,                              2/2016,"B2B, B2G",11-50,ROUND B,                 $10.3M,Released,B,10.3M,2,7,A Round,$4M,"['encryption' 'rf-technology' 'mobile-security' 'cyber-security' 'sensors'
 'smart-mobility' 'robotics' 'iot' 'anti-drones' 'autonomous-vehicles'
 'telemetry' 'drones' 'navigation' 'unmanned-aerial-vehicle']"
CCUREx,                              6/2019,"B2B, B2C",1-10,Pre-Seed,,R&D,,,,,,,"['artificial-intelligence' 'data-protection' 'privacy-protection'
 'mobile-security' 'coronavirus' 'cyber-security' 'machine-learning'
 'vulnerability-assessment']"
Cypago Security,                              8/2020,B2B,1-10,Seed,,R&D,Seed,0,1,1,Seed,,['cyber-security' 'fintech' 'enterprise-solutions' 'compliance']
Doxin,                              4/2020,B2B,1-10,Bootstrapped,,Released,,,,,,,"['privacy-protection' 'encryption' 'saas' 'data-protection' 'compliance'
 'regulation' 'enterprise-security' 'gdpr' 'cyber-security']"
iXDen,                              10/2016,B2B,1-10,Seed,,Beta,Seed,0,1,3,Seed,,"['behavior-analytics' 'artificial-intelligence' 'ot' 'transactions'
 'smart-grid' 'identity-verification' 'biometrics' 'connected-devices'
 'critical-infastructure' 'smart-home' 'fintech' 'smart-city'
 'patent-pending' 'cyber-security' 'control-systems' 'sensors' 'iot'
 'water' 'authentication' 'machine-learning' 'homeland-security'
 'payments']"
Wist Network,                              9/2018,"B2B, B2C, B2G",1-10,Bootstrapped,                 $2.76K,Released,Bootstrapped,2.76K,1,0,Grant,$2.76K,"['digital-assets' 'fintech' 'cryptography' 'authentication' 'open-banking'
 'identity-verification' 'cyber-security' 'encryption' 'data-protection'
 'smart-city' 'ecommerce' 'enterprise-solutions' 'authorization'
 'biometrics' 'blockchain' 'anti-fraud' 'privacy-protection']"
ReviveSec,                              8/2019,B2B,11-50,Bootstrapped,,R&D,,,,,,,"['cyber-security' 'firewall' 'automation' 'enterprise-solutions'
 'mobile-security' 'connected-devices' 'mobile-devices']"
Sternum,                              5/2018,"B2B, B2G",11-50,ROUND B,                 $36.84M,Released,B,36.84M,4,9,B Round,$27M,"['smart-city' 'ransomware' 'data-protection' 'ot-cyber' 'cyber-security'
 'medical-equipment' 'smart-home' 'medical-products' 'compliance'
 'medical-devices' 'infrastructure' 'connected-devices' 'security'
 'machinery' 'iot-security' 'patent-pending' 'clinical-workflow' 'energy'
 'digital-healthcare' 'endpoint-security' 'equipment' 'sensors'
 'cyber-threat-analysis' 'energytech' 'industry-4.0' 'iot']"
Cyabra,             2018,"B2B, B2G",11-50,Seed,                 $1M,Released,Seed,1M,1,1,Seed,$1M,"['social-media' 'deep-learning' 'authentication'
 'natural-language-processing' 'cyber-intelligence' 'news'
 'incident-response' 'social-networks' 'behavior-analytics'
 'artificial-intelligence' 'monitoring' 'identity-verification'
 'cyber-threat-analysis' 'brand-protection' 'cyber-security'
 'machine-learning']"
BATM,                              1/1992,"B2B, B2G",51-200,Public,,Released,,,,,,,"['it' 'cellular-backhaul' 'diagnostics' 'sdn' 'cloud' 'medical-equipment'
 'waste-to-energy' 'dpi' 'waste-disposal' 'cyber-security'
 'telecommunication' 'telecommunication-equipment' 'networking' 'ethernet'
 'broadband' 'coronavirus' 'waste-tech']"
MinerEye,                              2/2015,B2B,11-50,ROUND A,                 $6.1M,Released,A,6.1M,3,2,Grant,$2.5M,"['data-protection' 'security' 'computer-vision' 'forensics'
 'mobile-security' 'enterprise-solutions' 'machine-learning'
 'artificial-intelligence' 'data-governance' 'data-management'
 'compliance' 'big-data-analytics' 'privacy-protection' 'auditing'
 'cloud-migration' 'cyber-security' 'enterprise-security' 'gdpr'
 'network-security']"
Enquantum,                              8/2020,"B2B, B2B2C",1-10,Seed,,R&D,Seed,0,1,0,Seed,,"['cryptography' 'cyber-security' 'artificial-intelligence'
 'cloud-security' 'field-programmable-gate-array']"
SecBI,                              6/2014,B2B,11-50,ROUND A,                 $6.5M,Released,A,6.5M,2,5,A Round,$5M,"['network-security' 'siem' 'saas' 'critical-infastructure' 'orchestration'
 'incident-response' 'cyber-security' 'intelligence' 'cyber-intelligence'
 'data-breach' 'threat-intelligence' 'web-traffic' 'behavior-analytics'
 'cyber-threat-analysis' 'cyber-insurance' 'big-data-analytics'
 'threat-detection' 'monitoring' 'security-operations' 'forensics' 'soc']"
Securepush,                              12/2011,B2B,1-10,Seed,                 $2.9M,Released,Seed,2.9M,4,2,Convertible Debt,$1.5M,"['mobile-applications' 'cyber-security' 'authentication' 'location-based'
 'fleet-management' 'smart-mobility' 'big-data-analytics' 'encryption'
 'access-control' 'iot' 'oem' 'iot-platform' 'connected-devices'
 'iot-security' 'consumer-electronics' 'identity-verification']"
Brandefender,                              5/2018,B2B,11-50,Bootstrapped,,R&D,,,,,,,"['machine-learning' 'marketplace' 'ecommerce' 'ransomware'
 'brand-protection' 'artificial-intelligence' 'computer-vision'
 'natural-language-processing' 'cyber-security' 'saas' 'online-shopping'
 'social-media' 'phishing']"
Kazuar,                              2/2014,"B2B, B2C, B2B2C",11-50,Bootstrapped,,Released,,,,,,,"['cyber-security' 'cloud-security' 'network-security' 'data-protection'
 'isolation' 'encryption']"
IntSights,                              1/2015,B2B,201-500,ROUND C+,                 $71.3M,Released,C+,71.3M,5,8,D Round,$30M,"['cyber-intelligence' 'deep-web' 'industry-4.0' 'anti-fraud' 'phishing'
 'threat-intelligence' 'cyber-security' 'dashboard' 'network-visibility'
 'brand-protection' 'network-security' 'orchestration']"
Claroty,                              10/2014,"B2B, B2G",201-500,ROUND C+,                 $232M,Released,C+,232M,3,18,D Round,$140M,"['operational-technology' 'network-security' 'critical-infastructure'
 'iot' 'industrial-networks' 'energytech' 'cyber-security' 'scada' 'ot'
 'quarantine' 'threat-intelligence' 'industry-4.0' 'control-systems' 'otc'
 'unicorn' 'ot-cyber']"
CYREBRO,                              4/2013,B2B,51-200,ROUND B,                 $21M,Released,B,21M,2,4,B Round,$15M,"['network-security' 'machine-learning' 'incident-response'
 'penetration-tests' 'enterprise-security' 'security-operations'
 'cyber-intelligence' 'soc' 'cyber-security']"
Assac Networks,                              11/2011,"B2B, B2G",1-10,Revenue Financed,                 $2M,Released,Revenue Financed,2M,1,1,Seed,$2M,"['mobile-applications' 'cyber-security' 'mobile-security' 'dialer' 'vpn'
 'forensics' 'mobile-networks' 'critical-infastructure'
 'telecommunication' 'scada' 'byod' 'encryption']"
Cycode,                              7/2019,B2B,11-50,ROUND A,                 $24.6M,R&D,A,24.6M,2,6,A Round,$20M,"['network-security' 'cyber-security' 'risk-management'
 'network-visibility' 'anomaly-detection' 'enterprise-security' 'dlp'
 'cloud-security' 'data-protection']"
Hermetric,                              5/2014,"B2B, B2G",1-10,Revenue Financed,,Released,,,,,,,"['ddos' 'data-protection' 'vulnerability-management' 'website-security'
 'higher-education' 'saas' 'dlp' 'software-applications'
 'enterprise-security' 'cyber-security']"
Kovrr,                              11/2016,B2B,11-50,ROUND A,                 $5.5M,Released,A,5.5M,3,5,A Round,$5.5M,"['predictive-analytics' 'risk-management' 'cyber-security' 'underwriting'
 'fintech' 'artificial-intelligence' 'cyber-insurance' 'risk-assesments'
 'portfolio-management' 'insurtech']"
Rayzone Group,                              2/2010,B2G,51-200,Revenue Financed,,Released,,,,,,,"['cyber-technology' 'big-data-analytics' 'tactical-gear' 'cyber-security'
 'homeland-security' 'gsm' 'intelligence' 'cyber-warfare'
 'cyber-intelligence' 'osint']"
Cylus,                              4/2017,"B2B, B2G",11-50,ROUND A,                 $23.7M,Released,A,23.7M,3,11,Undisclosed Round,$7M,"['smart-mobility' 'cyber-threat-analysis' 'traffic' 'trains' 'smart-city'
 'public-transportation' 'cyber-security' 'threat-detection'
 'network-security' 'transportation']"
Checkmarx,                              4/2006,B2B,500+,ROUND B,                 $14.5M,Released,B,14.5M,2,3,B Round,$8M,"['vulnerability-assessment' 'software-testing' 'secure-coding'
 'penetration-tests' 'application-security' 'data-analytics'
 'cyber-security' 'app-development' 'application-security-testing'
 'compliance' 'threat-intelligence' 'code']"
Comtec,                              2/1976,B2B,11-50,Established,,Released,,,,,,,"['grc' 'software-house' 'it' 'insurtech' 'claim-management'
 'messaging-security' 'email' 'enterprise-security' 'enterprise-solutions'
 'cyber-security' 'compliance' 'fintech' 'data-protection']"
Grip Security,                              1/2021,B2B,11-50,Seed,                 $6M,Alpha,Seed,6M,1,6,Seed,$6M,"['network-security' 'enterprise-solutions' 'security' 'data-protection'
 'saas' 'enterprise-security' 'cyber-security']"
EverC,                              1/2007,B2B,51-200,ROUND B,                 $48M,Released,B,48M,4,8,B Round,$35M,"['software-applications' 'grc' 'risk-management' 'cyber-security'
 'threat-intelligence' 'ids' 'compliance' 'transactions' 'ecommerce' 'aml'
 'fintech' 'anti-fraud']"
Suridata.ai,                              7/2019,B2B,11-50,Seed,                 $2.1M,Released,Seed,2.1M,1,5,Seed,$2.1M,"['cyber-security' 'natural-language-processing' 'gdpr' 'machine-learning'
 'regulation' 'privacy-protection' 'artificial-intelligence' 'compliance'
 'data-protection' 'enterprise-solutions']"
VisibleRisk,                              7/2019,B2B,11-50,ROUND A,                 $30M,Released,A,30M,2,2,A Round,$25M,['cyber-security']
NOVELSAT,                              10/2007,"B2B, B2G",51-200,Revenue Financed,,Released,,,,,,,"['ip-backhaul-networks' 'wireless-communication' 'satellite-modem'
 'enterprise-solutions' 'transmission' 'cellular-backhaul'
 'network-management' 'satellites' 'telecommunication' 'streaming'
 'broadcasting' 'astronautics' 'video-content' 'critical-infastructure'
 '4g-networks' 'cyber-security' 'mobile-networks' 'sigint'
 'data-communication' 'satellite-imagery' 'astrospace' 'broadband'
 '5g-networks' 'space-tech' 'data-protection' 'network-management' 'iot'
 'vsat' 'communication-protocols' 'satcom' 'ott' 'data-communication'
 'telecommunication-equipment']"
