,Acculynk (Acquired by First Data),Aeris Secure,Axiado,AllClear ID,Cybereason,Accolade Technology,BeyondTrust,Advanced Technology Group (ATG-NYC),Darktrace,DeepView,CyberMDX,Active Navigation,CNS – Cyber Security Specialists,AVG (Acquired by Avast),A-LIGN,ADF Solutions,Awareness Technologies,Avatier,AvePoint,Avow Security,Balabit (Acquired by One Identity),CYFOR Secure,Allure Security Technology,Encedo,"AvTek Solutions, Inc.",Cybersift,Banyan Security,"Alchemy Security, LLC",Auconet,Beyond Identity,DataGlobal,context information (Acquired by Babcock),Binary Defense,Device Authority,CybeReady,Envelop Risk Analytics,baffle,Allegro Software,Adobe,Egress,Axonius,AlertLogic,Barricade IT Security,Actifile Ltd.,Barracuda,Altitude Networks,CNS,ABD Technology Inc,CyberSmart,ECSC,DigitalXRAID Ltd,AuthenWare,Balbix,Bitdefender,Aligned Technology Solutions,Auth0,Aura,Bitglass,Abira Security,4A Security & Compliance,AaDya Security,ACI Solutions,Biscom,Comtact Ltd.,Data Shepherd,Crypta Labs,CSL DualCom,6Wind,Avanan,Agio,Cypaw,1Kosmos – BlockID,Alt-N Technologies (Acquired by BlackBerry),Absolute,360 Cyber Secure,crossword,Cossack Labs,Cyanre,CyNation,Attivo Networks,Accellion,Cyberfit,ActZero.ai,CYSIAM,e2e-assure ltd,ENTERSEKT,Aware,BinarySec,Axio Global,Beachhead Security,Accurics,Abnormal Security,Allgress,Active Cypher,Accertify,CyberX,Axiad IDS,CybSafe,AUTHEN2CATE,Awake Security,Deep Secure,Beyond Security,Axis Security,Avaria Networks,AlienVault – AT&T,Automox,Codified Security,Akamai Technologies,AIS,Comis,Authoriti Network,Axway,14 Nine,ECS Consulting,Agari,CYREN,Alert Cyber,Agile1,CNS Group,Algosec,Bastille,CyberOwl,Encode UK Limited,Cybertonica Ltd.,Allot Communications,bettercloud,exonar,"CyberArk Software, Inc.",Acalvio Technologies,AfGlobe Communications – ACI Solutions,Bayshore,"Advanced Network Systems, Inc.","BIO-key International, Inc.",AHA Products Group,A10 Networks,CyberQ Group,Axiom Cyber Solutions,Authentic8,Clearswift (Acquired by RUAG),AuthLite,AccessData Group,Cyberseer,Bandura,Elemendar,Corax Cyber Security,eXate,Abacode Cybersecurity & Compliance,"BARR Advisory, P.A.",SCORE
Rescana,80.96,69.45,92.45,100.0,86.27,100.0,91.11,69.45,76.08,74.39,78.7,84.2,69.45,83.36,69.45,69.57,69.57,87.28,84.2,69.45,84.36,69.45,69.57,87.51,69.45,78.23,78.23,69.45,69.57,89.9,87.51,69.57,69.45,94.46,69.45,69.45,87.51,87.51,87.51,100.0,76.08,82.87,69.45,87.76,91.8,74.55,78.7,69.45,80.96,69.45,69.45,86.27,78.7,85.36,69.45,89.9,79.06,78.29,69.45,69.45,85.36,100.0,87.51,69.45,91.52,89.52,78.23,78.23,83.95,69.45,69.57,89.9,78.23,89.52,69.45,80.96,87.51,80.42,78.23,76.06,84.2,69.45,81.73,69.45,69.45,86.27,87.51,100.0,80.96,89.52,72.52,78.23,74.39,78.17,69.57,76.08,89.9,69.45,100.0,76.06,82.92,77.93,91.99,69.45,69.57,83.31,69.57,93.93,69.45,69.45,100.0,86.9,69.45,69.45,78.23,82.65,69.45,69.45,69.45,69.45,78.23,100.0,76.08,100.0,83.36,78.82,100.0,86.9,69.57,76.08,80.96,69.45,89.9,87.51,86.7,69.45,69.45,78.23,86.69,89.9,69.57,69.45,76.08,69.57,74.39,72.52,69.45,69.45,5.608695652173914
IOT Armor Dome,73.14,58.0,69.78,100.0,71.01,100.0,70.49,58.0,70.51,68.44,70.97,70.45,58.0,71.36,58.0,66.96,66.96,64.7,70.45,58.0,70.13,58.0,66.96,73.32,58.0,74.69,74.69,58.0,66.96,62.13,73.32,66.96,58.0,69.99,58.0,58.0,73.32,73.32,73.32,100.0,70.51,71.43,58.0,69.36,72.1,68.36,70.97,58.0,73.14,58.0,58.0,71.58,70.97,72.39,58.0,62.13,69.15,66.66,58.0,58.0,72.39,100.0,73.32,58.0,69.12,68.41,74.69,74.69,67.11,58.0,66.96,62.13,74.69,68.41,58.0,73.14,73.32,69.08,74.69,67.84,70.45,58.0,70.09,58.0,58.0,71.58,73.32,100.0,73.14,68.41,65.75,74.69,68.44,68.91,66.96,70.51,62.13,58.0,100.0,67.84,71.18,68.8,69.41,58.0,66.96,68.62,66.96,68.88,58.0,58.0,100.0,69.81,58.0,58.0,74.69,69.85,58.0,58.0,58.0,58.0,74.69,100.0,70.51,100.0,71.36,69.05,100.0,69.81,66.96,70.51,73.14,58.0,62.13,73.32,70.04,58.0,58.0,74.69,70.22,62.13,66.96,58.0,70.51,66.96,68.44,65.75,58.0,58.0,1.6086956521739129
Sabres Security,74.27,63.42,90.11,100.0,82.86,100.0,88.78,63.42,73.13,70.93,74.61,79.14,63.42,75.89,63.42,67.73,67.73,83.9,79.14,63.42,82.67,63.42,67.73,83.89,63.42,72.02,72.02,63.42,67.73,88.72,83.89,67.73,63.42,90.6,63.42,63.42,83.89,83.89,83.89,100.0,73.13,80.62,63.42,81.78,90.58,72.17,74.61,63.42,74.27,63.42,63.42,83.83,74.61,77.8,63.42,88.72,74.76,76.23,63.42,63.42,77.8,100.0,83.89,63.42,87.27,84.4,72.02,72.02,82.12,63.42,67.73,88.72,72.02,84.4,63.42,74.27,83.89,77.34,72.02,73.0,79.14,63.42,74.14,63.42,63.42,83.83,83.89,100.0,74.27,84.4,71.57,72.02,70.93,70.39,67.73,73.13,88.72,63.42,100.0,73.0,80.3,78.56,88.14,63.42,67.73,80.68,67.73,92.4,63.42,63.42,100.0,84.29,63.42,63.42,72.02,79.63,63.42,63.42,63.42,63.42,72.02,100.0,73.13,100.0,75.89,74.14,100.0,84.29,67.73,73.13,74.27,63.42,88.72,83.89,81.29,63.42,63.42,72.02,85.1,88.72,67.73,63.42,73.13,67.73,70.93,71.57,63.42,63.42,4.086956521739131
Centraleyes,89.1,84.74,87.92,100.0,90.07,100.0,93.05,84.74,85.25,89.36,90.32,91.58,84.74,80.19,84.74,82.92,82.92,89.27,91.58,84.74,89.35,84.74,82.92,87.08,84.74,79.04,79.04,84.74,82.92,82.47,87.08,82.92,84.74,87.83,84.74,84.74,87.08,87.08,87.08,100.0,85.25,91.87,84.74,92.23,86.92,77.85,90.32,84.74,89.1,84.74,84.74,89.45,90.32,90.58,84.74,82.47,91.81,86.57,84.74,84.74,90.58,100.0,87.08,84.74,85.63,85.22,79.04,79.04,88.75,84.74,82.92,82.47,79.04,85.22,84.74,89.1,87.08,91.52,79.04,86.36,91.58,84.74,91.07,84.74,84.74,89.45,87.08,100.0,89.1,85.22,83.41,79.04,89.36,78.23,82.92,85.25,82.47,84.74,100.0,86.36,88.67,87.08,86.94,84.74,82.92,89.48,82.92,87.1,84.74,84.74,100.0,92.53,84.74,84.74,79.04,88.05,84.74,84.74,84.74,84.74,79.04,100.0,85.25,100.0,80.19,89.24,100.0,92.53,82.92,85.25,89.1,84.74,82.47,87.08,82.58,84.74,84.74,79.04,92.33,82.47,82.92,84.74,85.25,82.92,89.36,83.41,84.74,84.74,6.071428571428572
Cyolo,82.76,68.09,91.42,100.0,84.0,100.0,89.47,68.09,78.44,75.92,80.06,82.55,68.09,82.72,68.09,72.39,72.39,86.43,82.55,68.09,85.93,68.09,72.39,85.8,68.09,82.43,82.43,68.09,72.39,89.48,85.8,72.39,68.09,91.83,68.09,68.09,85.8,85.8,85.8,100.0,78.44,84.01,68.09,83.52,90.77,77.79,80.06,68.09,82.76,68.09,68.09,87.68,80.06,84.32,68.09,89.48,78.53,77.45,68.09,68.09,84.32,100.0,85.8,68.09,86.97,83.68,82.43,82.43,80.85,68.09,72.39,89.48,82.43,83.68,68.09,82.76,85.8,79.66,82.43,75.97,82.55,68.09,80.31,68.09,68.09,87.68,85.8,100.0,82.76,83.68,74.22,82.43,75.92,76.98,72.39,78.44,89.48,68.09,100.0,75.97,82.57,80.21,91.24,68.09,72.39,80.59,72.39,92.84,68.09,68.09,100.0,86.21,68.09,68.09,82.43,81.98,68.09,68.09,68.09,68.09,82.43,100.0,78.44,100.0,82.72,79.77,100.0,86.21,72.39,78.44,82.76,68.09,89.48,85.8,85.0,68.09,68.09,82.43,85.67,89.48,72.39,68.09,78.44,72.39,75.92,74.22,68.09,68.09,6.214285714285714
GYTpol,83.91,71.74,93.01,100.0,88.38,100.0,93.6,71.74,81.15,79.05,83.23,85.33,71.74,83.02,71.74,74.96,74.96,88.9,85.33,71.74,88.18,71.74,74.96,87.5,71.74,81.28,81.28,71.74,74.96,90.87,87.5,74.96,71.74,94.12,71.74,71.74,87.5,87.5,87.5,100.0,81.15,87.96,71.74,86.94,94.35,75.12,83.23,71.74,83.91,71.74,71.74,90.04,83.23,86.23,71.74,90.87,82.19,80.56,71.74,71.74,86.23,100.0,87.5,71.74,89.63,86.46,81.28,81.28,85.12,71.74,74.96,90.87,81.28,86.46,71.74,83.91,87.5,83.81,81.28,79.29,85.33,71.74,81.87,71.74,71.74,90.04,87.5,100.0,83.91,86.46,76.66,81.28,79.05,75.69,74.96,81.15,90.87,71.74,100.0,79.29,86.51,84.1,91.68,71.74,74.96,85.17,74.96,94.89,71.74,71.74,100.0,89.66,71.74,71.74,81.28,85.13,71.74,71.74,71.74,71.74,81.28,100.0,81.15,100.0,83.02,80.42,100.0,89.66,74.96,81.15,83.91,71.74,90.87,87.5,85.48,71.74,71.74,81.28,90.12,90.87,74.96,71.74,81.15,74.96,79.05,76.66,71.74,71.74,2.565217391304348
CardinalOps,85.11,72.49,89.92,100.0,91.98,100.0,93.07,72.49,86.68,84.35,87.62,85.67,72.49,84.01,72.49,82.02,82.02,85.9,85.67,72.49,90.22,72.49,82.02,87.42,72.49,82.69,82.69,72.49,82.02,85.62,87.42,82.02,72.49,91.36,72.49,72.49,87.42,87.42,87.42,100.0,86.68,90.01,72.49,87.09,90.69,79.99,87.62,72.49,85.11,72.49,72.49,91.65,87.62,87.21,72.49,85.62,87.23,87.44,72.49,72.49,87.21,100.0,87.42,72.49,90.22,86.15,82.69,82.69,89.97,72.49,82.02,85.62,82.69,86.15,72.49,85.11,87.42,87.64,82.69,85.9,85.67,72.49,83.52,72.49,72.49,91.65,87.42,100.0,85.11,86.15,83.94,82.69,84.35,78.04,82.02,86.68,85.62,72.49,100.0,85.9,90.36,87.21,89.02,72.49,82.02,89.65,82.02,91.59,72.49,72.49,100.0,90.74,72.49,72.49,82.69,90.69,72.49,72.49,72.49,72.49,82.69,100.0,86.68,100.0,84.01,83.42,100.0,90.74,82.02,86.68,85.11,72.49,85.62,87.42,87.77,72.49,72.49,82.69,91.8,85.62,82.02,72.49,86.68,82.02,84.35,83.94,72.49,72.49,4.000000000000001
SenseCy,87.61,75.74,93.75,100.0,90.34,100.0,93.63,75.74,85.89,85.32,88.02,89.62,75.74,81.92,75.74,81.75,81.75,89.44,89.62,75.74,91.56,75.74,81.75,91.54,75.74,84.17,84.17,75.74,81.75,88.96,91.54,81.75,75.74,92.51,75.74,75.74,91.54,91.54,91.54,100.0,85.89,90.36,75.74,88.67,92.25,82.96,88.02,75.74,87.61,75.74,75.74,92.44,88.02,87.42,75.74,88.96,86.59,85.11,75.74,75.74,87.42,100.0,91.54,75.74,89.45,86.26,84.17,84.17,88.59,75.74,81.75,88.96,84.17,86.26,75.74,87.61,91.54,88.94,84.17,83.46,89.62,75.74,84.64,75.74,75.74,92.44,91.54,100.0,87.61,86.26,83.54,84.17,85.32,76.34,81.75,85.89,88.96,75.74,100.0,83.46,90.23,86.94,90.63,75.74,81.75,88.26,81.75,92.07,75.74,75.74,100.0,92.75,75.74,75.74,84.17,88.23,75.74,75.74,75.74,75.74,84.17,100.0,85.89,100.0,81.92,86.84,100.0,92.75,81.75,85.89,87.61,75.74,88.96,91.54,85.75,75.74,75.74,84.17,92.36,88.96,81.75,75.74,85.89,81.75,85.32,83.54,75.74,75.74,7.6521739130434785
Sasa Software,78.08,67.77,90.45,100.0,85.75,100.0,89.74,67.77,77.88,76.64,79.53,83.32,67.77,75.56,67.77,73.56,73.56,84.41,83.32,67.77,85.32,67.77,73.56,87.44,67.77,74.77,74.77,67.77,73.56,86.52,87.44,73.56,67.77,89.69,67.77,67.77,87.44,87.44,87.44,100.0,77.88,83.78,67.77,83.98,90.31,76.24,79.53,67.77,78.08,67.77,67.77,86.13,79.53,79.65,67.77,86.52,79.03,79.87,67.77,67.77,79.65,100.0,87.44,67.77,87.67,84.67,74.77,74.77,85.4,67.77,73.56,86.52,74.77,84.67,67.77,78.08,87.44,82.48,74.77,76.83,83.32,67.77,76.54,67.77,67.77,86.13,87.44,100.0,78.08,84.67,76.98,74.77,76.64,69.92,73.56,77.88,86.52,67.77,100.0,76.83,84.58,81.59,86.45,67.77,73.56,84.11,73.56,90.07,67.77,67.77,100.0,87.3,67.77,67.77,74.77,82.68,67.77,67.77,67.77,67.77,74.77,100.0,77.88,100.0,75.56,78.76,100.0,87.3,73.56,77.88,78.08,67.77,86.52,87.44,81.34,67.77,67.77,74.77,88.02,86.52,73.56,67.77,77.88,73.56,76.64,76.98,67.77,67.77,8.000000000000002
Reflectiz,83.46,75.25,93.42,100.0,86.82,100.0,92.54,75.25,80.14,81.65,83.55,87.76,75.25,78.42,75.25,76.86,76.86,90.29,87.76,75.25,89.26,75.25,76.86,88.69,75.25,77.54,77.54,75.25,76.86,90.64,88.69,76.86,75.25,91.89,75.25,75.25,88.69,88.69,88.69,100.0,80.14,87.05,75.25,88.39,89.88,80.07,83.55,75.25,83.46,75.25,75.25,89.27,83.55,84.99,75.25,90.64,84.11,82.62,75.25,75.25,84.99,100.0,88.69,75.25,87.76,86.17,77.54,77.54,86.65,75.25,76.86,90.64,77.54,86.17,75.25,83.46,88.69,85.9,77.54,80.27,87.76,75.25,84.07,75.25,75.25,89.27,88.69,100.0,83.46,86.17,79.58,77.54,81.65,75.82,76.86,80.14,90.64,75.25,100.0,80.27,85.49,83.87,91.57,75.25,76.86,85.78,76.86,92.44,75.25,75.25,100.0,91.09,75.25,75.25,77.54,84.61,75.25,75.25,75.25,75.25,77.54,100.0,80.14,100.0,78.42,85.03,100.0,91.09,76.86,80.14,83.46,75.25,90.64,88.69,83.31,75.25,75.25,77.54,89.89,90.64,76.86,75.25,80.14,76.86,81.65,79.58,75.25,75.25,7.2142857142857135
Lightspin,79.9,70.82,81.1,100.0,84.86,100.0,84.17,70.82,83.02,84.31,84.35,83.18,70.82,71.95,70.82,82.79,82.79,77.05,83.18,70.82,84.87,70.82,82.79,84.51,70.82,75.26,75.26,70.82,82.79,72.78,84.51,82.79,70.82,78.66,70.82,70.82,84.51,84.51,84.51,100.0,83.02,85.01,70.82,81.32,80.4,89.49,84.35,70.82,79.9,70.82,70.82,84.13,84.35,78.81,70.82,72.78,84.62,87.99,70.82,70.82,78.81,100.0,84.51,70.82,83.43,78.08,75.26,75.26,88.63,70.82,82.79,72.78,75.26,78.08,70.82,79.9,84.51,86.06,75.26,83.09,83.18,70.82,79.05,70.82,70.82,84.13,84.51,100.0,79.9,78.08,87.79,75.26,84.31,71.21,82.79,83.02,72.78,70.82,100.0,83.09,85.52,84.69,77.58,70.82,82.79,85.37,82.79,80.94,70.82,70.82,100.0,85.48,70.82,70.82,75.26,87.37,70.82,70.82,70.82,70.82,75.26,100.0,83.02,100.0,71.95,87.5,100.0,85.48,82.79,83.02,79.9,70.82,72.78,84.51,82.01,70.82,70.82,75.26,88.12,72.78,82.79,70.82,83.02,82.79,84.31,87.79,70.82,70.82,5.142857142857143
QPrivacy,78.53,67.23,93.22,100.0,84.75,100.0,91.16,67.23,75.79,74.04,77.8,82.81,67.23,78.43,67.23,70.19,70.19,87.4,82.81,67.23,85.53,67.23,70.19,87.01,67.23,76.0,76.0,67.23,70.19,91.62,87.01,70.19,67.23,93.18,67.23,67.23,87.01,87.01,87.01,100.0,75.79,83.32,67.23,84.61,92.78,74.01,77.8,67.23,78.53,67.23,67.23,86.76,77.8,81.21,67.23,91.62,77.34,77.2,67.23,67.23,81.21,100.0,87.01,67.23,88.46,86.1,76.0,76.0,83.08,67.23,70.19,91.62,76.0,86.1,67.23,78.53,87.01,80.15,76.0,74.75,82.81,67.23,77.56,67.23,67.23,86.76,87.01,100.0,78.53,86.1,73.14,76.0,74.04,72.59,70.19,75.79,91.62,67.23,100.0,74.75,82.71,80.4,90.98,67.23,70.19,82.28,70.19,94.11,67.23,67.23,100.0,87.26,67.23,67.23,76.0,81.02,67.23,67.23,67.23,67.23,76.0,100.0,75.79,100.0,78.43,77.28,100.0,87.26,70.19,75.79,78.53,67.23,91.62,87.01,82.59,67.23,67.23,76.0,87.12,91.62,70.19,67.23,75.79,70.19,74.04,73.14,67.23,67.23,5.571428571428572
Namogoo,80.3,72.33,93.14,100.0,86.64,100.0,92.85,72.33,79.02,79.55,81.8,84.86,72.33,76.99,72.33,75.36,75.36,89.97,84.86,72.33,89.01,72.33,75.36,86.14,72.33,74.66,74.66,72.33,75.36,92.15,86.14,75.36,72.33,92.21,72.33,72.33,86.14,86.14,86.14,100.0,79.02,86.31,72.33,86.37,90.04,72.77,81.8,72.33,80.3,72.33,72.33,89.12,81.8,82.71,72.33,92.15,82.58,80.61,72.33,72.33,82.71,100.0,86.14,72.33,85.65,85.09,74.66,74.66,85.24,72.33,75.36,92.15,74.66,85.09,72.33,80.3,86.14,84.31,74.66,79.54,84.86,72.33,80.98,72.33,72.33,89.12,86.14,100.0,80.3,85.09,76.83,74.66,79.55,73.21,75.36,79.02,92.15,72.33,100.0,79.54,84.79,83.88,91.59,72.33,75.36,85.47,75.36,92.47,72.33,72.33,100.0,90.43,72.33,72.33,74.66,83.0,72.33,72.33,72.33,72.33,74.66,100.0,79.02,100.0,76.99,79.51,100.0,90.43,75.36,79.02,80.3,72.33,92.15,86.14,80.05,72.33,72.33,74.66,88.71,92.15,75.36,72.33,79.02,75.36,79.55,76.83,72.33,72.33,7.464285714285714
Regulus Cyber,65.89,50.7,73.61,100.0,76.25,100.0,74.87,50.7,69.39,63.76,67.88,67.77,50.7,70.67,50.7,64.04,64.04,64.83,67.77,50.7,70.68,50.7,64.04,75.01,50.7,68.6,68.6,50.7,64.04,67.38,75.01,64.04,50.7,76.02,50.7,50.7,75.01,75.01,75.01,100.0,69.39,70.9,50.7,69.78,78.47,65.6,67.88,50.7,65.89,50.7,50.7,72.91,67.88,68.52,50.7,67.38,66.77,70.15,50.7,50.7,68.52,100.0,75.01,50.7,78.29,74.57,68.6,68.6,74.33,50.7,64.04,67.38,68.6,74.57,50.7,65.89,75.01,68.8,68.6,68.04,67.77,50.7,63.2,50.7,50.7,72.91,75.01,100.0,65.89,74.57,66.59,68.6,63.76,64.07,64.04,69.39,67.38,50.7,100.0,68.04,74.45,69.77,71.09,50.7,64.04,73.57,64.04,75.72,50.7,50.7,100.0,71.29,50.7,50.7,68.6,73.9,50.7,50.7,50.7,50.7,68.6,100.0,69.39,100.0,70.67,63.45,100.0,71.29,64.04,69.39,65.89,50.7,67.38,75.01,74.38,50.7,50.7,68.6,74.37,67.38,64.04,50.7,69.39,64.04,63.76,66.59,50.7,50.7,7.500000000000001
CCUREx,84.11,76.28,92.65,100.0,89.36,100.0,93.24,76.28,82.25,83.61,85.45,89.43,76.28,78.44,76.28,79.09,79.09,88.89,89.43,76.28,89.33,76.28,79.09,90.72,76.28,77.76,77.76,76.28,79.09,87.71,90.72,79.09,76.28,91.42,76.28,76.28,90.72,90.72,90.72,100.0,82.25,88.61,76.28,89.84,91.05,80.89,85.45,76.28,84.11,76.28,76.28,89.52,85.45,85.49,76.28,87.71,85.94,84.95,76.28,76.28,85.49,100.0,90.72,76.28,89.67,87.73,77.76,77.76,89.54,76.28,79.09,87.71,77.76,87.73,76.28,84.11,90.72,88.42,77.76,82.29,89.43,76.28,84.3,76.28,76.28,89.52,90.72,100.0,84.11,87.73,82.09,77.76,83.61,75.02,79.09,82.25,87.71,76.28,100.0,82.29,88.21,85.54,89.26,76.28,79.09,88.51,79.09,91.35,76.28,76.28,100.0,91.97,76.28,76.28,77.76,86.81,76.28,76.28,76.28,76.28,77.76,100.0,82.25,100.0,78.44,86.05,100.0,91.97,79.09,82.25,84.11,76.28,87.71,90.72,84.09,76.28,76.28,77.76,92.09,87.71,79.09,76.28,82.25,79.09,83.61,82.09,76.28,76.28,2.3043478260869565
Cypago Security,89.97,77.83,88.97,100.0,85.78,100.0,90.46,77.83,82.89,82.97,86.42,87.32,77.83,85.0,77.83,77.4,77.4,88.09,87.32,77.83,87.22,77.83,77.4,85.65,77.83,86.37,86.37,77.83,77.4,85.38,85.65,77.4,77.83,89.64,77.83,77.83,85.65,85.65,85.65,100.0,82.89,88.72,77.83,87.24,89.34,76.52,86.42,77.83,89.97,77.83,77.83,89.03,86.42,90.36,77.83,85.38,84.83,78.94,77.83,77.83,90.36,100.0,85.65,77.83,84.13,82.36,86.37,86.37,80.67,77.83,77.4,85.38,86.37,82.36,77.83,89.97,85.65,84.5,86.37,80.02,87.32,77.83,87.58,77.83,77.83,89.03,85.65,100.0,89.97,82.36,76.47,86.37,82.97,79.65,77.4,82.89,85.38,77.83,100.0,80.02,84.96,82.94,89.48,77.83,77.4,82.35,77.4,89.35,77.83,77.83,100.0,88.4,77.83,77.83,86.37,83.54,77.83,77.83,77.83,77.83,86.37,100.0,82.89,100.0,85.0,84.62,100.0,88.4,77.4,82.89,89.97,77.83,85.38,85.65,83.77,77.83,77.83,86.37,87.51,85.38,77.4,77.83,82.89,77.4,82.97,76.47,77.83,77.83,2.571428571428572
Doxin,84.3,78.43,90.6,100.0,80.46,100.0,89.55,78.43,73.81,77.25,79.76,87.81,78.43,75.74,78.43,69.1,69.1,89.96,87.81,78.43,83.16,78.43,69.1,85.98,78.43,76.27,76.27,78.43,69.1,87.92,85.98,69.1,78.43,89.0,78.43,78.43,85.98,85.98,85.98,100.0,73.81,84.58,78.43,87.46,90.06,74.01,79.76,78.43,84.3,78.43,78.43,83.98,79.76,84.79,78.43,87.92,79.11,73.31,78.43,78.43,84.79,100.0,85.98,78.43,83.31,82.27,76.27,76.27,78.39,78.43,69.1,87.92,76.27,82.27,78.43,84.3,85.98,81.65,76.27,71.81,87.81,78.43,83.79,78.43,78.43,83.98,85.98,100.0,84.3,82.27,70.85,76.27,77.25,71.43,69.1,73.81,87.92,78.43,100.0,71.81,79.61,78.69,88.0,78.43,69.1,78.27,69.1,89.94,78.43,78.43,100.0,87.15,78.43,78.43,76.27,76.79,78.43,78.43,78.43,78.43,76.27,100.0,73.81,100.0,75.74,83.63,100.0,87.15,69.1,73.81,84.3,78.43,87.92,85.98,78.39,78.43,78.43,76.27,86.54,87.92,69.1,78.43,73.81,69.1,77.25,70.85,78.43,78.43,3.782608695652175
iXDen,82.65,73.17,94.06,100.0,87.92,100.0,93.72,73.17,80.59,80.33,83.25,86.87,73.17,78.5,73.17,76.03,76.03,89.94,86.87,73.17,89.14,73.17,76.03,88.95,73.17,77.93,77.93,73.17,76.03,91.53,88.95,76.03,73.17,93.16,73.17,73.17,88.95,88.95,88.95,100.0,80.59,87.88,73.17,87.39,93.28,77.15,83.25,73.17,82.65,73.17,73.17,89.92,83.25,84.05,73.17,91.53,82.7,81.57,73.17,73.17,84.05,100.0,88.95,73.17,88.84,86.12,77.93,77.93,86.7,73.17,76.03,91.53,77.93,86.12,73.17,82.65,88.95,85.55,77.93,79.3,86.87,73.17,81.2,73.17,73.17,89.92,88.95,100.0,82.65,86.12,78.65,77.93,80.33,72.62,76.03,80.59,91.53,73.17,100.0,79.3,86.76,84.87,90.93,73.17,76.03,86.0,76.03,93.94,73.17,73.17,100.0,91.12,73.17,73.17,77.93,84.72,73.17,73.17,73.17,73.17,77.93,100.0,80.59,100.0,78.5,82.31,100.0,91.12,76.03,80.59,82.65,73.17,91.53,88.95,83.1,73.17,73.17,77.93,91.07,91.53,76.03,73.17,80.59,76.03,80.33,78.65,73.17,73.17,5.500000000000001
Wist Network,82.52,72.35,94.21,100.0,83.69,100.0,91.54,72.35,75.96,76.19,79.5,86.29,72.35,78.96,72.35,70.65,70.65,89.89,86.29,72.35,85.99,72.35,70.65,88.65,72.35,78.41,78.41,72.35,70.65,92.02,88.65,70.65,72.35,93.12,72.35,72.35,88.65,88.65,88.65,100.0,75.96,84.74,72.35,86.87,93.24,75.13,79.5,72.35,82.52,72.35,72.35,87.03,79.5,83.95,72.35,92.02,78.69,75.69,72.35,72.35,83.95,100.0,88.65,72.35,86.99,85.89,78.41,78.41,81.31,72.35,70.65,92.02,78.41,85.89,72.35,82.52,88.65,81.55,78.41,74.16,86.29,72.35,81.4,72.35,72.35,87.03,88.65,100.0,82.52,85.89,72.53,78.41,76.19,74.02,70.65,75.96,92.02,72.35,100.0,74.16,82.34,80.62,91.81,72.35,70.65,81.23,70.65,93.68,72.35,72.35,100.0,88.39,72.35,72.35,78.41,79.57,72.35,72.35,72.35,72.35,78.41,100.0,75.96,100.0,78.96,80.78,100.0,88.39,70.65,75.96,82.52,72.35,92.02,88.65,81.57,72.35,72.35,78.41,87.44,92.02,70.65,72.35,75.96,70.65,76.19,72.53,72.35,72.35,5.0
ReviveSec,74.17,56.45,83.76,100.0,80.63,100.0,83.33,56.45,73.06,66.3,72.42,72.9,56.45,80.9,56.45,64.72,64.72,76.39,72.9,56.45,77.59,56.45,64.72,78.99,56.45,77.76,77.76,56.45,64.72,81.67,78.99,64.72,56.45,87.42,56.45,56.45,78.99,78.99,78.99,100.0,73.06,76.93,56.45,75.92,87.74,68.55,72.42,56.45,74.17,56.45,56.45,81.0,72.42,77.68,56.45,81.67,70.24,71.79,56.45,56.45,77.68,100.0,78.99,56.45,85.31,80.16,77.76,77.76,76.14,56.45,64.72,81.67,77.76,80.16,56.45,74.17,78.99,71.38,77.76,70.09,72.9,56.45,70.42,56.45,56.45,81.0,78.99,100.0,74.17,80.16,66.99,77.76,66.3,71.43,64.72,73.06,81.67,56.45,100.0,70.09,78.0,73.36,83.73,56.45,64.72,75.76,64.72,88.17,56.45,56.45,100.0,77.73,56.45,56.45,77.76,78.01,56.45,56.45,56.45,56.45,77.76,100.0,73.06,100.0,80.9,68.28,100.0,77.73,64.72,73.06,74.17,56.45,81.67,78.99,82.84,56.45,56.45,77.76,79.57,81.67,64.72,56.45,73.06,64.72,66.3,66.99,56.45,56.45,1.956521739130435
Sternum,84.75,75.81,91.17,100.0,88.16,100.0,92.88,75.81,80.77,80.33,84.19,87.47,75.81,79.83,75.81,74.72,74.72,88.58,87.47,75.81,86.52,75.81,74.72,87.7,75.81,79.26,79.26,75.81,74.72,87.56,87.7,74.72,75.81,91.92,75.81,75.81,87.7,87.7,87.7,100.0,80.77,88.12,75.81,88.05,93.0,74.56,84.19,75.81,84.75,75.81,75.81,88.48,84.19,86.13,75.81,87.56,82.77,80.14,75.81,75.81,86.13,100.0,87.7,75.81,89.3,85.2,79.26,79.26,85.54,75.81,74.72,87.56,79.26,85.2,75.81,84.75,87.7,85.57,79.26,78.14,87.47,75.81,82.01,75.81,75.81,88.48,87.7,100.0,84.75,85.2,77.07,79.26,80.33,71.07,74.72,80.77,87.56,75.81,100.0,78.14,86.94,82.79,87.61,75.81,74.72,85.08,74.72,91.78,75.81,75.81,100.0,89.87,75.81,75.81,79.26,84.62,75.81,75.81,75.81,75.81,79.26,100.0,80.77,100.0,79.83,82.43,100.0,89.87,74.72,80.77,84.75,75.81,87.56,87.7,83.65,75.81,75.81,79.26,91.07,87.56,74.72,75.81,80.77,74.72,80.33,77.07,75.81,75.81,7.000000000000001
